Joshi Hydropower Development Company Ltd,28,65.00,60.00,65.00,2060.00,129160.00,60.00,5.00

Jyoti Bikas Bank Limited,84,173.00,168.00,170.00,30002.00,5107011.00,171.00,-1.00

Kalika power Company Ltd,39,87.00,83.00,85.00,550.00,46310.00,84.00,1.00

Kamana Sewa Bikas Bank Limited,23,137.00,135.00,137.00,14488.00,1969811.00,137.00,0.00

Kanchan Development Bank Limited,14,206.00,191.00,206.00,2293.00,455506.00,188.00,18.00

Karnali Development Bank Limited,13,106.00,101.00,102.00,3323.00,337523.00,104.00,-2.00

Khanikhola Hydropower Co. Ltd.,8,51.00,50.00,50.00,152.00,7626.00,52.00,-2.00

Kumari Bank Limited,41,184.00,180.00,181.00,8167.00,1487179.00,183.00,-2.00

Laxmi Bank Limited,17,194.00,193.00,193.00,5860.00,1133672.00,193.00,0.00

Laxmi Equity Fund,2,7.14,7.14,7.14,5000.00,35700.00,7.28,-0.14

Laxmi Laghubitta Bittiya Sanstha Ltd.,7,693.00,657.00,670.00,250.00,167710.00,680.00,-10.00

Life Insurance Co. Nepal,12,1040.00,1005.00,1035.00,630.00,644476.00,1025.00,10.00

Lumbini Bikas Bank Ltd.,100,197.00,190.00,192.00,42572.00,8150186.00,194.00,-2.00

Lumbini General Insurance Co. Ltd.,26,348.00,332.00,332.00,4610.00,1549586.00,342.00,-10.00

Machhapuchhre Bank Limited,43,221.00,218.00,218.00,25275.00,5541970.00,219.00,-1.00

Mahalaxmi Bikas Bank Ltd.,29,174.00,171.00,171.00,7440.00,1284118.00,174.00,-3.00

Mahila Sahayatra Microfinance Bittiya Sanstha Ltd.,33,575.00,545.00,547.00,3330.00,1835830.00,564.00,-17.00

Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,20,918.00,900.00,900.00,1967.00,1777462.00,900.00,0.00

Manjushree Finance Ltd.,25,145.00,140.00,143.00,12943.00,1829417.00,140.00,3.00

Mega  Bank Nepal Ltd.,55,185.00,183.00,184.00,12576.00,2308531.00,184.00,0.00

Mero Microfinance Bittiya Sanstha Ltd.,28,455.00,440.00,441.00,4816.00,2143634.00,455.00,-14.00

Miteri Development Bank Limited,4,250.00,247.00,247.00,294.00,72986.00,250.00,-3.00

Mithila LaghuBitta Bittiya Sanstha Limited,14,577.00,559.00,574.00,1446.00,820554.00,570.00,4.00

Mountain Hydro Nepal Limited,5,83.00,82.00,83.00,335.00,27735.00,83.00,0.00

Muktinath Bikas Bank Ltd.,51,280.00,275.00,279.00,10581.00,2943765.00,279.00,0.00

Nabil Bank Limited,190,670.00,660.00,667.00,22863.00,15219265.00,669.64,-2.64

Nabil Equity Fund,12,7.74,7.44,7.44,31423.00,235541.93,7.45,-0.01

Nadep Laghubittiya bittya Sanstha Ltd.,36,468.00,461.00,462.00,3673.00,1699746.00,467.00,-5.00

National Hydro Power Company Limited,7,51.00,50.00,51.00,3750.00,191000.00,51.00,0.00

National Life Insurance Co. Ltd.,34,489.00,469.00,472.00,6763.00,3219650.00,486.00,-14.00

National Microfinance Bittiya Sanstha Ltd.,12,1240.00,1225.00,1240.00,373.00,459410.00,1254.00,-14.00

Naya Nepal Laghubitta Bikas Bank Ltd.,15,525.00,505.00,505.00,1014.00,514660.00,515.00,-10.00

Neco Insurance Co. Ltd.,41,426.00,412.00,412.00,5833.00,2441045.00,420.00,-8.00

Nepal Bangladesh Bank Limited,41,191.00,188.00,190.00,7560.00,1426377.00,189.00,1.00

Nepal Bank Limited,233,317.00,315.00,316.00,241620.00,76238377.00,315.00,1.00

Nepal Credit And Commercial Bank Limited,155,210.00,203.00,205.00,64107.00,13115840.00,207.00,-2.00

Nepal Doorsanchar Comapany Limited,166,670.00,650.00,653.00,15459.00,10112842.00,659.00,-6.00

Nepal Hydro Developers Ltd.,14,120.00,116.00,117.00,550.00,65370.00,122.00,-5.00

Nepal Insurance Co. Ltd.,57,308.00,285.00,290.00,14050.00,4163663.00,299.00,-9.00

Nepal Investment Bank Limited,90,437.00,432.00,433.00,15066.00,6530551.00,430.00,3.00

